mbid	thedomid	thename	location	explanation
49df544c6bb6	TP6P1393	3_card_Poker	65-40	A card Game
33186a0ca57f	UP4P0222	Aardvark	46-11	-
fd3fdcb72756	TP6P1629	Aardvark22	-	Captain Aarfy Aardvark is a character in Joseph Hellers magnum opus, Catch-22. He is a navigator in the Army Air Corps during World War II.
040222704ea9	TP6P1631	Aarfy	-	Captain Aarfy Aardvark is a character in Joseph Hellers magnum opus, Catch-22. He is a navigator in the Army Air Corps during World War II.
10dbd5f897a7	UP5H0166	Abrahamsberg	29-51	-
362505f566dd	UP5P0904	Abrakophilia	39-49	-
8b3c3b779e54	UP6Y4328	Ab_Kin_Xoc	66-19	NULL
12d19e75bc5a	UP5P0740	Acerophobia	29-09	-
3960d2f2f53a	TP4P0195	Acetylcholine	50-54	-
d506827bf470	TP6P1407	Ace_Of_The_Pile	-	A card Game
275527e474c8	UP5P0728	Achluophobiaish	72-57	-
0e923b5b9c31	TP6Y4331	Acna	-	NULL
1cc05d900120	UP4P0232	Acorn_squash	-	-
2129000445ac	UP5P0704	Acrophobia	67-25	-
88a8860e4d3a	UP5P0896	Acrotomophilia	-	-
d2a0f0a1b941	TP5Y0169	Acura_Integra	30-16	-
de45a0f45ad5	TP5Y0167	AC_Cobra	40-20	-
21162e0dc10e	UP6P1448	Ada	-	Language focused on secure programming named for programmer Ada Lovelace
c3bbcd2ca07d	UP4Y0032	Adambraue	59-29	-
84976bf645a2	TP4Y0021	Aecht_Patzenhofer	40-42	-
7c9123c4ab15	TP6P1827	Aerolineas_Argentinas	74-50	Argentina national airline
912af53ec50b	UP5P0806	Aerology	-	-
fa9c32ad17ec	UP5P1048	Aeromonas	72-01	-
0b1d26a591b0	UP5P0682	Aeronausiphobia	39-31	-
375821bb71a9	UP5P0658	Aerophobiaish	-	-
e398031ea2f1	UP6P1782	Aero_Benin	74-37	Benin national airline
a37441207611	TP4H0020	Aethelred	30-10	-
2755f75f07fc	TP6P1571	Age_Of_Empires	-	a history based real time strategy game series for the PC
7365347f0de0	UP5P0706	Agliophobia	66-37	-
70e229a3d5eb	UP6Y4432	Agni	65-21	Indian Gods and legendary heroes
f1ef76a51884	UP4P0100	Agnolotti	50-53	-
520fd910f398	UP6Y4324	Ahau_Chamahez	56-17	NULL
43ac1088a59c	TP6Y4333	Ahau_Kin	66-28	NULL
ce7adf95fbcf	TP6P1445	AHDL	-	Altera Hardware Description Language for programming CPLD and FPGA
99afdb2e63c4	TP6Y4245	Ahmakiq	47-30	NULL
281c886b19e0	TP5Y0163	Ahrensfelde	-	-
5e59556bd24c	TP6Y4345	Ahulane	46-08	NULL
2a44003801dc	TP6Y4329	Ah_Bolom_Tzacab	-	NULL
dd1953e43397	UP6Y4334	Ah_Chuy_Kak	72-41	NULL
cacb47e2c238	TP6Y4339	Ah_Cun_Can	46-10	NULL
c09ad7a7ea16	TP6Y4323	Ah_Kinchil	66-24	NULL
0445154519b2	UP6Y4318	Ah_Mucen_Cab	66-29	NULL
7554a446d6f9	UP6Y4242	Ah_Puch	65-45	NULL
ca3b900516ba	UP6P1712	Air_Botswana	-	Botswana national airline
8e915fcd588c	UP6P1716	Air_Burkina	-	Burkina Faso national airline
d070b50e6018	TP6P1823	Air_Burundi	74-14	Burundi national airline
67d20467c806	UP6P1772	Air_Canada	74-49	Canada national airline
6b32222e1c66	TP6P1821	Air_China	74-34	Peoples Republic of China national airline
bdce2d491514	UP6P1758	Air_Comores	74-19	Comoros national airline
ec069d41029c	UP6P1778	Air_France	-	France national airline
5a40b016e798	UP6P1768	Air_Gabon	-	Gabon national airline
2f1df844689e	TP6P1765	Air_Guyane	-	French Guiana national airline
695e408742b4	TP6P1783	Air_Ivoire	-	Cote dIvoire national airline
664f0608bcdc	TP6P1645	Air_Santo_Domingo	-	Dominican Republic national airline
05249cd96e66	UP6P1764	Air_Tahiti_Nui	-	French Polynesia national airline
57e93012557d	UP6Y4286	Ajbit	66-31	NULL
74d82bb5ad4d	TP6Y4289	Ajtzak	74-52	NULL
22c1d090b1eb	AP4P0063	Akagai	30-61	-
7dd7dbc1e5aa	TP5H0165	Akalla	29-38	-
28b3ab2d6f73	UP6Y4294	Akhushtal	58-29	NULL
391709c03e20	UP6H7502	Aktergatan	-	-
d601cd46b263	UP4Y0040	Aktien	46-13	-
a3160dc6bb2b	UP5P0954	Alabama	-	-
22c2b1453486	UP5P0970	Alaska	-	-
420e63988874	TP6P1797	Albanian_Airlines	-	Albania national airline
3e330666139d	TP5P0939	Albany	49-22	-
8a6763d90eb5	UP5H0158	Alby	-	-
7d51fc47fae7	UP5P0894	Alcoholophilia	-	-
d2f3e6129811	TP4Y0047	Aldersbacher	-	-
ebfe61063472	TP5Y0075	Aldershof	-	-
